"filename", "language", "Python", "YAML", "comment", "blank", "total"
"d:\Project\dataflow\backends\sparse_train\op\__init__.py", "Python", 1, 0, 0, 0, 1
"d:\Project\dataflow\backends\sparse_train\op\back_conv.py", "Python", 21, 0, 0, 1, 22
"d:\Project\dataflow\backends\sparse_train\op\back_conv_relu.py", "Python", 22, 0, 0, 1, 23
"d:\Project\dataflow\backends\sparse_train\op\back_conv_relu_bn.py", "Python", 23, 0, 0, 1, 24
"d:\Project\dataflow\backends\sparse_train\op\back_conv_split_relu_bn.py", "Python", 22, 0, 1, 0, 23
"d:\Project\dataflow\backends\sparse_train\op\back_conv_split_relu_bn_bn.py", "Python", 22, 0, 1, 0, 23
"d:\Project\dataflow\backends\sparse_train\op\back_linear_maxpool_relu_add_bn.py", "Python", 37, 0, 2, 5, 44
"d:\Project\dataflow\backends\sparse_train\op\linear_softmax_entropy.py", "Python", 48, 0, 2, 5, 55
"d:\Project\dataflow\backends\sparse_train\replace.yaml", "YAML", 0, 7, 0, 0, 7
"d:\Project\dataflow\backends\sparse_train\target_code\structure_info.yaml", "YAML", 0, 4, 0, 1, 5
"d:\Project\dataflow\backends\sparse_train\target_code\structure_info_weight_gradient.yaml", "YAML", 0, 6, 0, 0, 6
"d:\Project\dataflow\backends\sparse_train\target_code\structure_info_weight_update.yaml", "YAML", 0, 4, 0, 0, 4
"d:\Project\dataflow\compiler\generate\net\net.py", "Python", 5, 0, 0, 0, 5
"d:\Project\dataflow\compiler\generate\op\conv.py", "Python", 58, 0, 0, 3, 61
"d:\Project\dataflow\compiler\generate\op\linear.py", "Python", 77, 0, 0, 2, 79
"d:\Project\dataflow\compiler\generate\operator.py", "Python", -19, 0, 18, 0, -1
"d:\Project\dataflow\compiler\target_gen\memory\mem_operator.py", "Python", -9, 0, -4, -2, -15
"d:\Project\dataflow\compiler\target_gen\memory\memory_manager.py", "Python", -32, 0, 0, -1, -33
"d:\Project\dataflow\compiler\target_gen\memory\net.py", "Python", -4, 0, 0, -2, -6
"d:\Project\dataflow\model\alexnet.py", "Python", 2, 0, 2, 0, 4
"d:\Project\dataflow\model\resnet.py", "Python", -4, 0, 0, -1, -5
"d:\Project\dataflow\test.py", "Python", -35, 0, -41, -11, -87
"Total", "-", 235, 21, -19, 2, 239